event_id,event_title,event_volume,event_liquidity,n_markets,market_id,question,p_yes_mid,p_yes_mid_valid,best_bid,best_ask,end_date
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559652,Will Gavin Newsom win the 2028 Democratic presidential nomination?,0.1505,True,0.15,0.151,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559653,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,0.2135,True,0.213,0.214,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559654,Will Pete Buttigieg win the 2028 Democratic presidential nomination?,0.0525,True,0.052,0.053,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559655,Will Josh Shapiro win the 2028 Democratic presidential nomination?,0.0505,True,0.05,0.051,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559656,Will Wes Moore win the 2028 Democratic presidential nomination?,0.0145,True,0.014,0.015,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559657,Will Stephen A. Smith win the 2028 Democratic presidential nomination?,0.003,True,0.002,0.004,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559658,Will Kamala Harris win the 2028 Democratic presidential nomination?,0.0745,True,0.074,0.075,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559659,Will Gretchen Whitmer win the 2028 Democratic presidential nomination?,0.0075,True,0.007,0.008,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559660,Will Andy Beshear win the 2028 Democratic presidential nomination?,0.0225,True,0.022,0.023,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559661,Will Jon Ossoff win the 2028 Democratic presidential nomination?,0.1475,True,0.146,0.149,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559662,Will Mark Cuban win the 2028 Democratic presidential nomination?,0.0055,True,0.005,0.006,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559663,Will J.B. Pritzker win the 2028 Democratic presidential nomination?,0.0115,True,0.011,0.012,2028-11-07T00:00:00Z
